lattice_constant_A,total_energy_eV
2.90,-20.937536
2.95,-21.234092
3.00,-21.461386
3.05,-21.625750
3.10,-21.732881
3.12,-21.760877
3.14,-21.780836
3.16,-21.793054
3.18,-21.797814
3.20,-21.795381
3.22,-21.786013
3.24,-21.769975
3.26,-21.747484
3.30,-21.684089
3.35,-21.572620
3.40,-21.428405
3.45,-21.254584
3.50,-21.056210

