lattice_constant_A,total_energy_eV
2.38,-18.25833388
2.39,-18.30079301
2.40,-18.33758567
2.41,-18.36886529
2.42,-18.39479967
2.43,-18.41555123
2.44,-18.43127018
2.45,-18.44210965
2.46,-18.44821434
2.47,-18.44973471
2.48,-18.44680437
2.49,-18.43955747
2.50,-18.42813358
2.51,-18.41265570
2.52,-18.39325537
2.53,-18.37004904
2.54,-18.34316333

